country,item_name,veg,non_veg,egg,vegan,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
India,Aam Panna,0,0,0,1,ml,100,15,55,0.2,0,13,0.3,11,5,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
India,Aamat,0,0,0,1,g,100,25,70,2,3,9,2,1.5,140,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Acerola,0,0,0,1,unit,1,15,32,0.4,0.3,7.7,1.1,6.7,7,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
India,Achappam,0,0,1,0,unit,1,10,75,1,3,10,0.2,4,20,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Ackee,0,0,0,1,unit,1,20,151,2.9,15.2,0.8,2.7,0.8,240,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Adai,1,0,0,0,unit,1,20,140,5,3,22,3,0.8,130,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Adhirasam,1,0,0,0,unit,1,20,180,2,7,28,1,15,20,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Agathi leaves,1,0,0,0,g,100,4,70.51,8.01,1.35,3.95,8.6,0.23,18.12,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
India,Akki Roti,1,0,0,0,unit,1,25,180,3,4,32,2,1,190,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
India,Aktori,1,0,0,0,unit,1,20,150,3,4,24,1,3,60,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
United Arab Emirates,Al Harees,0,1,0,0,g,100,26,165,10.0,7.0,15.0,1.0,0.4,180,0.27,0.23,0.20,26.00,1.87,1.36,42.89,0.38,0.37,0.35,0.99,1.01
,Allathi,1,0,0,0,g,100,30,97.04,21.77,0.98,0,0,0,32.68,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Almond,1,0,0,0,g,100,70,609.23,18.41,58.49,2.24,13.06,2.23,1.5,0.74,0.63,0.55,70,5.04,3.67,115.47,1.03,1.01,0.94,2.71,2.77
