item_name,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
Agathi leaves,g,100,4,70.51,8.01,1.35,3.95,8.6,0.23,18.12,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Allathi,g,100,30,97.04,21.77,0.98,0,0,0,32.68,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Almond,g,100,70,609.23,18.41,58.49,2.24,13.06,2.23,1.5,0.74,0.63,0.55,70,5.04,3.67,115.47,1.03,1.01,0.94,2.71,2.77
Aluva,g,100,30,103.73,21.63,1.8,0,0,0,44.86,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Amaranth,g,100,4,24.98,3.17,0.35,0.84,5.33,0.14,15.96,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Amaranth leaves,g,100,4,31.87,3.44,0.6,1.06,4.64,0.25,16.07,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Amaranth seed,g,100,12,356,13.93,5.65,58.42,7.24,0.84,2.75,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
Anchovy,g,100,30,87.72,19.88,0.78,0,0,0,212,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Apple,unit,1,36,60.41,0.33,0.57,9.22,2.31,9.22,1.39,0.38,0.32,0.28,36,2.59,1.89,59.38,0.53,0.52,0.48,1.39,1.42
Apricot,unit,1,5,186.07,2.32,0.69,39.72,1.95,15.04,2.77,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
Arecanut,g,100,50,316.12,4.99,4.77,59.18,10.06,2.76,11.57,0.53,0.45,0.39,50,3.6,2.62,82.48,0.74,0.72,0.67,1.93,1.98
Ari fish,g,100,30,99.19,22.01,1.11,0,0,0,37.35,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Asafoetida,g,100,300,331.5,6.34,1.26,37.76,5.13,0.93,16.04,3.16,2.7,2.34,300,21.58,15.74,494.85,4.42,4.32,4.03,11.61,11.85
Ash gourd,g,100,2,17.45,0.79,0.14,1.2,3.37,0.19,0.77,0.02,0.02,0.02,2,0.14,0.1,3.3,0.03,0.03,0.03,0.08,0.08
Avocado fruit,unit,1,40,144.36,2.95,13.86,1.75,6.69,1.65,2.81,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
Bael fruit,unit,1,25,135.99,2.63,0.57,23.55,6.31,16.35,1.56,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
Bajra,g,100,3.8,347.99,10.96,5.43,56.02,11.49,0.81,4.11,0.04,0.03,0.03,3.8,0.27,0.2,6.27,0.06,0.05,0.05,0.15,0.15
